src_ip,dst_ip,src_tempo_checagem_iptables,src_tempo_checagem_wl_local,src_tempo_resposta_api,src_tempo_checagem_api,src_tempo_aplicar_regras_blacklist,src_tempo_aplicar_regras_whitelist,dst_tempo_checagem_iptables,dst_tempo_checagem_wl_local,dst_tempo_resposta_api,dst_tempo_checagem_api,dst_tempo_aplicar_regras_blacklist,dst_tempo_aplicar_regras_whitelist,tempo_inserir_network_traffic,tempo_detecção_conexao
192.168.3.113,104.26.13.38,0.1666545867919922,0.1068115234375,0,0,0,0,0.06008148193359375,0.051975250244140625,0,0,0,0,0.13017654418945312,1.4164447784423828
192.168.3.113,34.54.88.138,0.12159347534179688,0.10776519775390625,0,0,0,0,0.052928924560546875,0.05245208740234375,0,0,0,0,0.12993812561035156,1.373291015625
192.168.3.113,35.244.137.80,0.15473365783691406,0.09131431579589844,0,0,0,0,0.052928924560546875,0.04839897155761719,0,0,0,0,0.125885009765625,1.4214515686035156
192.168.3.113,45.55.106.210,0.1347064971923828,0.0972747802734375,0,0,0,0,0.04649162292480469,0.04267692565917969,0,0,0,0,0.12159347534179688,1.3701915740966797
192.168.3.113,172.217.28.37,0.7102489471435547,0.3695487976074219,0,0,0,0,0.27680397033691406,0.14972686767578125,580.3630352020264,615.9777641296387,0,16.785144805908203,0.4756450653076172,3.1595230102539062
192.168.3.113,104.26.13.38,0.29850006103515625,0.1468658447265625,0,0,0,0,0.08654594421386719,0.08225440979003906,0,0,0,0,0.19478797912597656,1.6732215881347656
192.168.3.113,34.54.88.138,0.2129077911376953,0.1628398895263672,0,0,0,0,0.07843971252441406,0.08058547973632812,0,0,0,0,0.1785755157470703,1.6565322875976562
192.168.3.113,35.244.137.80,0.18286705017089844,0.16021728515625,0,0,0,0,0.09179115295410156,0.07677078247070312,0,0,0,0,0.2334117889404297,1.7025470733642578
192.168.3.113,45.55.106.210,0.21958351135253906,0.15544891357421875,0,0,0,0,0.07772445678710938,0.06937980651855469,0,0,0,0,0.19311904907226562,1.7130374908447266
192.168.3.113,172.217.28.35,0.5171298980712891,0.17523765563964844,0,0,0,0,0.08702278137207031,0.09226799011230469,556.3089847564697,569.6446895599365,0,19.676685333251953,0.23484230041503906,1.7788410186767578
192.168.3.113,35.244.137.80,0.3178119659423828,0.5102157592773438,0,0,0,0,0.1270771026611328,0.10895729064941406,0,0,0,0,0.23365020751953125,2.4755001068115234
192.168.3.113,104.26.13.38,0.35643577575683594,0.22554397583007812,0,0,0,0,0.14972686767578125,0.09942054748535156,0,0,0,0,0.18262863159179688,1.8813610076904297
192.168.3.113,35.244.137.80,0.3573894500732422,0.22292137145996094,0,0,0,0,0.08273124694824219,0.08893013000488281,0,0,0,0,0.20503997802734375,1.6171932220458984
192.168.3.113,34.54.88.138,0.15115737915039062,0.11968612670898438,0,0,0,0,0.06794929504394531,0.0591278076171875,0,0,0,0,0.16117095947265625,1.4145374298095703
192.168.3.113,45.55.106.210,0.2574920654296875,0.11587142944335938,0,0,0,0,0.09250640869140625,0.07510185241699219,0,0,0,0,0.23818016052246094,1.5566349029541016
192.168.3.113,172.217.29.202,0.16117095947265625,0.1423358917236328,0,0,0,0,0.10704994201660156,0.05435943603515625,805.351972579956,820.9612369537354,0,32.51338005065918,0.1494884490966797,1.6150474548339844
192.168.3.113,104.26.12.38,0.29015541076660156,0.18668174743652344,0,0,0,0,0.08296966552734375,0.05984306335449219,0,0,0,0,0.17189979553222656,1.6803741455078125
192.168.3.113,35.244.137.80,0.22554397583007812,0.156402587890625,0,0,0,0,0.053882598876953125,0.05412101745605469,0,0,0,0,0.14925003051757812,1.4278888702392578
192.168.3.113,34.54.88.138,0.11277198791503906,0.19240379333496094,0,0,0,0,0.03981590270996094,0.051021575927734375,0,0,0,0,2.024412155151367,3.0417442321777344
